TRACT,YEAR,TOTAL_HU,HOUSEHOLDS,VALUE_LOW,VALUE_MID,VALUE_HIGH
491707,2023,1805,1774,203,822,0
491801,2023,1085,1054,311,354,0
491802,2023,1161,1150,453,696,12
491803,2023,2625,2583,254,1579,1
492000,2023,2215,2180,11,1209,956
492100,2023,2250,2236,5,547,1673
492201,2023,1059,1059,6,272,765
492202,2023,2212,2198,5,1481,724
492203,2023,1318,1311,12,665,638
492300,2023,1102,1088,418,652,32
492400,2023,1801,1769,1076,631,44
492500,2023,1457,1457,11,444,962
980100,2023,0,0,0,0,0
980200,2023,0,0,0,0,0
980300,2023,0,0,0,0,0
