Type,2022,2023,Percent Change
Studio/Efficiency,1622,1668,0.028
1 Bedroom,1755,1825,0.04
1 Bedroom/Den,1858,1918,0.032
2 Bedrooms,2086,2143,0.027
2 Bedrooms/Den,2160,2256,0.044
3 Bedrooms,2418,2480,0.026
3 Bedrooms/Den,2336,2393,0.024
4 Bedrooms,2341,2615,0.117
